Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-01-23,654,18,30,606,100,2.75,4.59,60.0,8
2020-01-24,941,26,36,879,288,2.76,3.83,72.22,9
2020-01-25,1434,42,39,1353,495,2.93,2.72,107.69,11
2020-01-26,2118,56,52,2010,684,2.64,2.46,107.69,13
2020-01-27,2927,82,61,2784,809,2.8,2.08,134.43,16
2020-01-28,5578,131,107,5340,2653,2.35,1.92,122.43,16
2020-01-29,6167,133,126,5908,589,2.16,2.04,105.56,18
2020-01-30,8235,171,143,7921,2071,2.08,1.74,119.58,20
2020-01-31,9927,213,222,9492,1692,2.15,2.24,95.95,23
2020-02-01,12038,259,284,11495,2111,2.15,2.36,91.2,25
2020-02-02,16787,362,472,15953,4749,2.16,2.81,76.69,25
2020-02-03,19887,426,623,18838,3100,2.14,3.13,68.38,25
2020-02-04,23898,492,852,22554,4011,2.06,3.57,57.75,26
2020-02-05,27643,564,1124,25955,3745,2.04,4.07,50.18,26
2020-02-06,30803,634,1487,28682,3190,2.06,4.83,42.64,26
2020-02-07,34396,719,2011,31666,3593,2.09,5.85,35.75,27
2020-02-08,37130,806,2616,33708,2734,2.17,7.05,30.81,27
2020-02-09,40160,906,3244,36010,3030,2.26,8.08,27.93,27
2020-02-10,42769,1013,3946,37810,2609,2.37,9.23,25.67,27
2020-02-11,44811,1113,4683,39015,2042,2.48,10.45,23.77,27
2020-02-12,45229,1118,5150,38961,418,2.47,11.39,21.71,27
2020-02-13,60382,1371,6295,52716,15153,2.27,10.43,21.78,27
2020-02-14,66909,1523,8058,57328,6527,2.28,12.04,18.9,28
2020-02-15,69051,1666,9395,57990,2142,2.41,13.61,17.73,28
2020-02-16,71235,1770,10865,58600,2184,2.48,15.25,16.29,28
2020-02-17,73270,1868,12583,58819,2035,2.55,17.17,14.85,28
2020-02-18,75152,2008,14352,58792,1883,2.67,19.1,13.99,28
2020-02-19,75652,2123,16121,57408,500,2.81,21.31,13.17,29
2020-02-20,76212,2248,18177,55787,560,2.95,23.85,12.37,29
2020-02-21,76841,2252,18890,55699,629,2.93,24.58,11.92,31
2020-02-22,78602,2459,22886,53257,1762,3.13,29.12,10.74,31
2020-02-23,78982,2470,23394,53118,381,3.13,29.62,10.56,32
2020-02-24,79546,2630,25227,51689,566,3.31,31.71,10.43,37
2020-02-25,80399,2710,27905,49784,853,3.37,34.71,9.71,42
2020-02-26,81376,2771,30384,48221,977,3.41,37.34,9.12,48
2020-02-27,82736,2814,33276,46646,1360,3.4,40.22,8.46,52
2020-02-28,84123,2873,36710,44540,1387,3.42,43.64,7.83,58
2020-02-29,86013,2942,39781,43290,1895,3.42,46.25,7.4,62
2020-03-01,88394,2996,42715,42683,2383,3.39,48.32,7.01,67
2020-03-02,90377,3085,45601,41691,1983,3.41,50.46,6.77,74
2020-03-03,92971,3160,48227,41584,2595,3.4,51.87,6.55,77
2020-03-04,95279,3255,51169,40855,2312,3.42,53.7,6.36,81
2020-03-05,98090,3349,53795,40946,2811,3.41,54.84,6.23,85
2020-03-06,102003,3460,55863,42680,3914,3.39,54.77,6.19,94
2020-03-07,106098,3564,58357,44177,4100,3.36,55.0,6.11,95
2020-03-08,110047,3803,60692,45552,3951,3.46,55.15,6.27,100
2020-03-09,114219,3993,62491,47735,4172,3.5,54.71,6.39,103
2020-03-10,119041,4267,64400,50374,4824,3.58,54.1,6.63,106
2020-03-11,126702,4611,66998,55093,7690,3.64,52.88,6.88,112
2020-03-12,132492,4917,68320,59255,5794,3.71,51.57,7.2,114
2020-03-13,146879,5414,70248,71217,14393,3.69,47.83,7.71,121
